Day,Cash On Hand
11,252087
12,160550
13,131260
14,126100
15,169376
16,139574
17,102666
18,327246
19,430283
20,638759
21,390314
22,172730
23,521149
24,393102
25,267849
26,105788
27,223377
28,180181
29,97558
30,444689
31,238583
32,243395
33,525627
34,400007
35,177370
36,486885
37,235548
38,292718
39,316247
40,418825
41,297176
42,121579
43,328738
44,226411
45,305364
46,391882
47,484047
48,758548
49,334849
50,978339
51,1431889
52,2216414
53,2724435
54,2828385
55,2879145
56,2456031
57,2900404
58,1770571
59,1605155
60,1950987
61,1154808
62,495765
63,755226
64,1092942
65,2020656
66,1960414
67,2276216
68,2324393
69,2632977
70,3154815
71,3250606
72,3434700
73,2994678
74,3145523
75,3246980
76,3633401
77,3416783
78,3728574
79,3989244
80,3871716
81,3635840
82,3982329
83,4246173
84,5376988
85,5975782
86,5463931
87,5771150
88,5831229
89,6029525
90,7080093