Day,Sales,Trading Profit,Operating Expense,Net Profit
11,779859,-385619,824959,-1207624
12,958881,-250039,915476,-1161405
13,1099755,-1006305,965563,-1967758
14,1234989,-1142412,1068730,-2207032
15,1376737,-1780248,1180535,-2956673
16,1516725,-1927933,1363658,-3287481
17,1660967,-2139473,1388431,-3523794
18,2227484,-1635701,1496981,-3128572
19,3314692,-612147,1653736,-2278468
20,3558548,-749839,1716358,-2500282
21,3761107,-636089,1766162,-2436336
22,4977820,434384,1913459,-1515215
23,5178858,547510,1953808,-1440126
24,5714872,754328,2055744,-1334859
25,7010097,1935730,2165072,-264839
26,7227483,2056421,2214682,-193566
27,7443932,1767952,2382136,-649393
28,8223364,2449010,2519901,-106565
29,8455319,2527880,2583677,-91190
30,8723565,2163145,2691132,-561628
31,8953155,2291218,2771068,-513491
32,9668621,2314881,3082482,-801242
33,10771692,2886874,3236533,-384036
34,13019104,4385809,3379683,969840
35,14167465,4985716,3481047,1467502
36,14332801,4829667,3633358,1160169
37,14562917,4654307,3773561,845120
38,14850473,4218528,3988827,194332
39,15470937,4729131,4136947,556943
40,15792832,4861925,4241424,585260
41,16076019,4444719,4499260,-89782
42,16300825,3524463,4632266,-1142979
43,16533082,3660788,4714991,-1088320
44,18590000,5272597,5033767,201663
45,19373890,5708908,5119470,552271
46,19615570,5217609,5360692,-179223
47,20502818,6004743,5435725,513351
48,21043636,6445452,5572518,817267
49,21576384,6876358,5748373,1072318
50,22485084,7684102,5930883,1697552
51,23526545,7962107,6207594,1698846
52,24542358,8152598,6320322,1776609
53,25972630,9151234,6488285,2607282
54,26808981,9596115,6572286,2968162
55,27867428,10548662,6656983,3836012
56,28090870,9913957,6781764,3076526
57,28818707,10092494,6932538,3104289
58,29037682,10200921,7016120,3129134
59,29302487,9529595,7170141,2303787
60,30326475,10433981,7270267,3108047
61,30549164,9598120,7504947,2037506
62,30771229,9675831,7619417,2000747
63,31180047,9985258,7729574,2200017
64,31961246,10235958,7840209,2340082
65,32983274,10415047,7939523,2419857
66,33206838,10536551,8013329,2467555
67,34171158,10976134,8182387,2738080
68,34875769,11247182,8428801,2762714
69,35577619,11750649,8582567,3112415
70,36852756,12286741,8687051,3544023
71,37937133,12870657,8821557,3993433
72,38673924,13245639,8895774,4294198
73,38878886,12991932,8970628,3965637
74,39560226,13546533,9097709,4393157
75,40541873,14429286,9293055,5080564
76,41018210,14808630,9387971,5364992
77,41266674,14753188,9540603,5156918
78,41904423,14502234,9691881,4754686
79,42287893,14792273,9819681,4916925
80,42500626,14302587,9937858,4309062
81,42709145,14420328,10017393,4347268
82,43403224,14719061,10127983,4535411
83,44081188,15278712,10217273,5005772
84,45464374,16258721,10315134,5887920
85,46526027,16652072,10433493,6162912
86,46751022,16779412,10551609,6172136
87,47136065,15733603,10659433,5023503
88,47347774,15849863,10728363,5100833
89,48187615,16560124,11354908,5184549
90,50110715,18391465,12227440,6143358